Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
5,CONCEIÇÃO,587,49,16,281,133,0,330,61,128,350,0,203
5,CONCEIÇÃO,589,41,21,602,453,0,308,76,141,164,0,377
5,CONCEIÇÃO,599,1454,876,14081,5197,46,3800,897,4235,7837,0,1321
5,CONCEIÇÃO,905,45,27,1090,46,0,42,29,89,271,0,52
5,CONCEIÇÃO,2271,2113,1353,20135,2393,0,8112,3190,3401,16317,0,1696
5,DUNAS - URB,33,8421,4197,63987,16722,113,11563,4282,14343,41491,0,2770
5,DUNAS - URB,40,4990,3265,38019,9152,111,16420,6838,7198,35585,0,2442
5,DUNAS - URB,331,1675,862,11991,2312,19,2592,911,3131,8739,0,728
5,DUNAS - URB,332,438,161,3350,520,0,487,229,1030,1551,0,622
5,DUNAS - URB,411,660,327,4586,1995,0,1264,498,1080,3303,0,355
5,DUNAS - URB,585,47,41,173,78,0,124,39,84,168,0,220
5,GUANABARA - URB,2,2814,1607,27436,6573,139,5861,2372,4459,14381,0,2050
5,GUANABARA - URB,4,1712,1162,20863,2898,11,2388,1213,2837,11267,0,1443
